,name,obsid,main_type,AGN,HMXB,QSO,SNR,YSO
6,2CXO J000028.5+623053,2810,QSO,0.2996396382109704,0.10421863234582177,0.35156926355488766,0.1269001808740609,0.11767228501425923
27,2CXO J000316.3+161714,11309,QSO,0.2649195437884886,0.07352506666443727,0.4552372931487924,0.11478862201903989,0.09152947437924173
37,2CXO J000811.4+511535,8942,QSO,0.3639526301014493,0.03436623148239273,0.4658325930283462,0.09466380968990648,0.0411847356979054
58,2CXO J001224.6-272008,5038,QSO,0.35523764588704165,0.016581750778660635,0.45294521728995346,0.15114859122034013,0.024086794824003957
83,2CXO J001418.2-495051,13471,QSO,0.24160223553547905,0.07384913421414796,0.5296962651146111,0.09670605685278226,0.05814630828297969
94,2CXO J001455.0-494947,13471,AGN,0.3388678221499277,0.05182966083651287,0.2557676327450034,0.1899517400055887,0.16358314426296722
102,2CXO J001524.0+171401,10547,HMXB,0.21979932487851156,0.3562813001788579,0.2553169204425601,0.06919021857239151,0.09941223592767894
121,2CXO J001817.8+301332,10231,QSO,0.2696867681731758,0.19469686385454033,0.35198129742672496,0.08748688906186303,0.09614818148369589
139,2CXO J002024.4+591525,7082,AGN,0.3794282885614014,0.20174457245172728,0.19616656777650596,0.1024282124575798,0.12023235875278561
150,2CXO J002132.7+591438,3953,QSO,0.2863597458613707,0.16093076652638652,0.36860772919239837,0.05890983215232347,0.12519192626752113
197,2CXO J002402.0+043126,7914,AGN,0.3347698287164644,0.19547327817418533,0.16725676942858483,0.041974686714802645,0.2605254369659627
271,2CXO J002537.7-122803,10413,QSO,0.20513356768716592,0.1443894864502506,0.33359818350383524,0.09401907734103275,0.22285968501771541
300,2CXO J002808.5-753817,14390,YSO,0.2354841743188915,0.23866264866725237,0.2416454420402411,0.042329661574961215,0.24187807339865375
308,2CXO J003228.4+394059,12991,QSO,0.2789758388651516,0.12351027348005814,0.434190064587158,0.08269934329398586,0.08062447977364644
345,2CXO J003722.2-333351,2019,QSO,0.2843639215086856,0.07739422876383491,0.30763790662353135,0.11751588065973086,0.21308806244421735
367,2CXO J003807.3-333606,9807,HMXB,0.21637668863234835,0.2835868271058781,0.2728021758430046,0.06664485397566694,0.160589454443102
379,2CXO J003902.7+032013,4053,HMXB,0.15718750266268477,0.32518376382163766,0.28593290496628837,0.06114900050378346,0.17054682804560586
385,2CXO J003928.7+031218,11389,QSO,0.12430552440230681,0.293605690452957,0.3569154179204178,0.038978269330364974,0.18619509789395336
404,2CXO J004125.8+405845,2899,QSO,0.2999213493293777,0.08193614967342897,0.30605076803009024,0.08712472385000475,0.22496700911709844
427,2CXO J004149.8+410106,15327,QSO,0.2523481953321796,0.13549909717139458,0.33017862615162324,0.1070741222148562,0.17489995912994655
439,2CXO J004203.1+404608,4536,AGN,0.3965183720726776,0.10628323487030363,0.351536603794766,0.07911962548771459,0.06654216377453821
486,2CXO J004209.0+412048,14197,HMXB,0.22136130093720485,0.29390270163898474,0.21941870564335625,0.061229247527455996,0.20408804425299806
500,2CXO J004211.3+410428,12974,QSO,0.3030405660800125,0.17807542039713098,0.35096372862103586,0.10570881930873396,0.062211465593086816
