,index,size
0,**,18
1,AGN,11
2,AGN_Candidate,6
3,Ae*,6
4,BLLac,1
5,BYDra,17
6,Be*,3
7,BlueSG*,8
8,BlueStraggler,1
9,C*,1
10,Candidate_AGB*,1
11,Candidate_PulsV*WVir,2
12,Candidate_RSG*,1
13,Candidate_XB*,5
14,Candidate_YSO,15
15,CataclyV*,34
16,Cl*,8
17,Cl*?,2
18,EB*,4
19,Em*,23
20,EmG,1
21,Galaxy,8
22,GinCl,1
23,GinPair,1
24,GlCl,33
25,GroupG,4
26,HH,20
27,HII,6
28,HMXB,125
29,IR,42
30,Irregular_V*,4
31,LINER,1
32,LMXB,38
33,LPV*,3
34,Maser,12
35,MolCld,1
36,NIR,20
37,Nova,2
38,OpCl,1
39,Orion_V*,320
40,PM*,1
41,PartofCloud,3
42,PartofG,7
43,PulsV*,2
44,PulsV*WVir,2
45,Pulsar,5
46,QSO,10
47,RGB*,2
48,Radio,76
49,Radio(cm),2
50,Radio(mm),12
51,Radio(sub-mm),1
52,RadioG,1
53,RotV*,5
54,SB*,16
55,SNR,19
56,SNR?,5
57,Seyfert,3
58,Seyfert_1,13
59,Seyfert_2,15
60,Star,492
61,TTau*,40
62,ULX,1
63,ULX?,15
64,UV,1
65,Unknown,5
66,V*,20
67,WR*,19
68,X,205
69,XB,5
70,YSO,416
71,brownD*,1
72,deltaCep,1
73,denseCore,6
74,gamma,1
75,multiple_object,4
76,outflow?,1
