,index,size
0,**,11
1,AGN,16
2,AGN_Candidate,7
3,Ae*,3
4,BClG,1
5,BLLac,2
6,BYDra,60
7,Candidate_CV*,1
8,Candidate_LMXB,1
9,Candidate_RSG*,1
10,Candidate_TTau*,1
11,Candidate_XB*,7
12,Candidate_YSO,59
13,CataclyV*,19
14,Cl*,6
15,EB*,19
16,EllipVar,1
17,Em*,30
18,Eruptive*,5
19,Galaxy,13
20,GinCl,4
21,GinPair,1
22,GlCl,4
23,GlCl?,1
24,GravLensSystem,1
25,GroupG,2
26,HH,25
27,HII,4
28,HMXB,36
29,IR,6
30,ISM,3
31,Irregular_V*,20
32,LMXB,16
33,LensedQ,3
34,Maser,3
35,NIR,2
36,Nova,3
37,Orion_V*,522
38,PM*,21
39,PN,1
40,PartofG,1
41,Planet,1
42,PulsV*,3
43,PulsV*bCep,2
44,Pulsar,1
45,QSO,31
46,RSCVn,2
47,Radio,13
48,Radio(mm),11
49,Radio(sub-mm),2
50,RadioG,1
51,RotV*,7
52,SB*,12
53,SN,1
54,SNR,3
55,Seyfert,1
56,Seyfert_1,28
57,Seyfert_2,6
58,Star,354
59,TTau*,144
60,ULX,3
61,ULX?,12
62,UV,4
63,Unknown,14
64,V*,12
65,X,106
66,XB,9
67,YSO,415
68,denseCore,4
69,gammaBurst,1
70,gammaDor,2
71,low-mass*,1
72,multiple_object,1
73,outflow?,9
