,index,size
0,**,24
1,AGN,68
2,AGN_Candidate,35
3,Ae*,1
4,BClG,9
5,BLLac,13
6,BYDra,6
7,Be*,21
8,Blazar,2
9,Blazar_Candidate,1
10,BlueSG*,73
11,Candidate_BH,11
12,Candidate_BSG*,1
13,Candidate_Be*,2
14,Candidate_CV*,1
15,Candidate_HMXB,1
16,Candidate_RSG*,4
17,Candidate_XB*,52
18,Candidate_YSO,31
19,CataclyV*,29
20,Cl*,33
21,Cl*?,2
22,ClG,7
23,EB*,6
24,Em*,22
25,EmG,4
26,Galaxy,72
27,GinCl,9
28,GinGroup,4
29,GinPair,6
30,GlCl,168
31,GlCl?,7
32,GravLens,1
33,GravLensSystem,6
34,GroupG,4
35,HH,4
36,HII,15
37,HMXB,281
38,IG,1
39,IR,107
40,ISM,7
41,Irregular_V*,1
42,LINER,7
43,LMXB,228
44,LensedImage,15
45,MIR,1
46,Maser,22
47,MolCld,39
48,NIR,42
49,OpCl,2
50,Orion_V*,73
51,PM*,2
52,PN,1
53,PairG,1
54,PartofCloud,1
55,PartofG,26
56,Possible_ClG,2
57,PulsV*,2
58,Pulsar,80
59,QSO,76
60,QSO_Candidate,5
61,RGB*,1
62,Radio,195
63,Radio(cm),18
64,Radio(mm),9
65,Radio(sub-mm),1
66,RadioG,12
67,RotV*,2
68,S*,1
69,SB*,12
70,SN,8
71,SNR,81
72,SNR?,7
73,Seyfert,2
74,Seyfert_1,68
75,Seyfert_2,156
76,Star,963
77,Symbiotic*,3
78,TTau*,20
79,Transient,6
80,ULX,14
81,ULX?,36
82,Unknown,22
83,V*,38
84,WR*,90
85,X,611
86,XB,110
87,YSO,228
88,brownD*,1
89,denseCore,5
90,gamma,1
91,multiple_object,2
