,index,size
0,**,24
1,AGN,129
2,AGN_Candidate,41
3,Ae*,2
4,BClG,32
5,BLLac,25
6,BYDra,14
7,Be*,2
8,Blazar_Candidate,4
9,Blue,4
10,BlueSG*,4
11,Candidate_Be*,1
12,Candidate_CV*,1
13,Candidate_LMXB,3
14,Candidate_XB*,106
15,Candidate_YSO,31
16,CataclyV*,13
17,Cl*,31
18,Cl*?,3
19,ClG,4
20,EB*,12
21,Em*,17
22,EmG,6
23,EmObj,1
24,Eruptive*,2
25,Galaxy,96
26,GinCl,9
27,GinGroup,10
28,GinPair,9
29,GlCl,143
30,GlCl?,24
31,GravLensSystem,7
32,GroupG,3
33,HH,4
34,HII,15
35,HII_G,2
36,HMXB,82
37,IG,4
38,IR,35
39,Irregular_V*,2
40,LINER,13
41,LMXB,112
42,LPV*,2
43,LensedImage,14
44,LensedQ,18
45,MIR,1
46,Maser,1
47,Mira,1
48,MolCld,10
49,NIR,7
50,Nova,20
51,Orion_V*,238
52,PN,5
53,PartofG,115
54,Planet,2
55,Planet?,1
56,PulsV*,1
57,Pulsar,11
58,QSO,479
59,QSO_Candidate,3
60,Radio,112
61,Radio(cm),6
62,Radio(mm),1
63,RadioG,11
64,RotV*,3
65,RotV*alf2CVn,1
66,SB*,29
67,SN,12
68,SNR,13
69,SNR?,5
70,Seyfert,1
71,Seyfert_1,92
72,Seyfert_2,20
73,Star,635
74,Symbiotic*,1
75,TTau*,59
76,Transient,3
77,ULX,9
78,ULX?,18
79,UV,2
80,Unknown,11
81,V*,5
82,WR*,50
83,X,519
84,XB,54
85,YSO,218
86,gamma,6
87,low-mass*,2
88,multiple_object,1
