,index,size
0,**,25
1,AGN,131
2,AGN_Candidate,52
3,Ae*,2
4,BClG,37
5,BLLac,24
6,BYDra,21
7,Blazar_Candidate,3
8,Blue,11
9,BlueCompG,1
10,BlueSG*,6
11,BlueStraggler,1
12,Candidate_CV*,1
13,Candidate_HMXB,1
14,Candidate_LMXB,1
15,Candidate_LensSystem,1
16,Candidate_XB*,93
17,Candidate_YSO,20
18,CataclyV*,15
19,Cepheid,1
20,Cl*,46
21,Cl*?,4
22,ClG,9
23,EB*,21
24,Em*,23
25,EmG,13
26,Galaxy,107
27,GinCl,17
28,GinGroup,14
29,GinPair,13
30,GlCl,118
31,GlCl?,5
32,GravLensSystem,7
33,GroupG,5
34,HH,9
35,HII,17
36,HMXB,81
37,HVCld,3
38,IG,4
39,IR,11
40,ISM,1
41,Irregular_V*,7
42,LINER,18
43,LMXB,104
44,LPV*,2
45,LensedImage,15
46,LensedQ,26
47,MIR,1
48,Maser,5
49,MolCld,4
50,NIR,9
51,Nova,11
52,Orion_V*,234
53,PM*,13
54,PN,1
55,PartofG,88
56,Possible_G,1
57,PulsV*,3
58,Pulsar,15
59,QSO,519
60,QSO_Candidate,6
61,RRLyr,3
62,Radio,126
63,Radio(cm),5
64,Radio(mm),11
65,RadioG,11
66,RotV*,3
67,RotV*alf2CVn,1
68,SB*,36
69,SN,16
70,SNR,12
71,SNR?,6
72,Seyfert,1
73,Seyfert_1,117
74,Seyfert_2,36
75,Star,829
76,Symbiotic*,1
77,TTau*,94
78,Transient,2
79,ULX,15
80,ULX?,14
81,UV,5
82,Unknown,14
83,V*,4
84,WR*,65
85,X,512
86,XB,45
87,YSO,244
88,denseCore,3
89,gamma,4
90,gammaBurst,1
91,outflow?,1
92,radioBurst,1
