,angDist,main_type,col1,ra.1,dec.1,obsid,name,cluster,silhouette_prob,silhouette
40599,0.379889,X,24723,201.357272714808,-43.01545979020784,962,2CXO J132525.7-430055,0,0.503980928160124,0.0079618563202479
40602,0.379889,X,24724,201.357272714808,-43.01545979020784,8490,2CXO J132525.7-430055,0,0.4734972725292137,-0.0530054549415724
40605,0.379889,X,24725,201.357272714808,-43.01545979020784,7797,2CXO J132525.7-430055,0,0.5470269398268529,0.0940538796537057
40608,0.178403,X,24737,201.36010687287944,-43.01506336003275,962,2CXO J132526.4-430054,0,0.6263219798199069,0.2526439596398137
40609,0.178403,X,24738,201.36010687287944,-43.01506336003275,2978,2CXO J132526.4-430054,0,0.584982529617606,0.169965059235212
40610,0.178403,X,24739,201.36010687287944,-43.01506336003275,3965,2CXO J132526.4-430054,0,0.6093682455002689,0.2187364910005378
40611,0.092129,X,24749,201.36289565253853,-43.033118419885085,8489,2CXO J132527.0-430159,2,0.5791455880349143,0.1582911760698287
40612,0.092129,X,24750,201.36289565253853,-43.033118419885085,10722,2CXO J132527.0-430159,2,0.5327227136609853,0.0654454273219706
40613,0.092129,X,24751,201.36289565253853,-43.033118419885085,2978,2CXO J132527.0-430159,1,0.5410491181063162,0.0820982362126323
40614,0.092129,X,24752,201.36289565253853,-43.033118419885085,3965,2CXO J132527.0-430159,3,0.5757006766746716,0.1514013533493432
40615,0.092129,X,24753,201.36289565253853,-43.033118419885085,8490,2CXO J132527.0-430159,5,0.5550624373214978,0.1101248746429956
40616,0.092129,X,24754,201.36289565253853,-43.033118419885085,7797,2CXO J132527.0-430159,2,0.5361583704293809,0.0723167408587617
40617,0.222877,GlCl,24760,201.36455630665185,-43.02449457739196,3965,2CXO J132527.4-430128,0,0.5694987824228297,0.1389975648456594
40618,0.222877,GlCl,24761,201.36455630665185,-43.02449457739196,10722,2CXO J132527.4-430128,0,0.5448968427902054,0.0897936855804108
40619,0.222877,GlCl,24762,201.36455630665185,-43.02449457739196,2978,2CXO J132527.4-430128,0,0.5742291841905963,0.1484583683811926
40620,0.222877,GlCl,24763,201.36455630665185,-43.02449457739196,8489,2CXO J132527.4-430128,0,0.5450719187332823,0.0901438374665646
40621,0.222877,GlCl,24764,201.36455630665185,-43.02449457739196,8490,2CXO J132527.4-430128,0,0.5932341123082683,0.1864682246165366
40622,0.025196,X,24769,201.3643843885204,-43.037251376050406,10722,2CXO J132527.4-430214,2,0.5318403840224497,0.0636807680448993
40623,0.025196,X,24770,201.3643843885204,-43.037251376050406,3965,2CXO J132527.4-430214,5,0.618745056663066,0.2374901133261319
40624,0.025196,X,24771,201.3643843885204,-43.037251376050406,2978,2CXO J132527.4-430214,1,0.5628810521831044,0.1257621043662087
40625,0.025196,X,24772,201.3643843885204,-43.037251376050406,8489,2CXO J132527.4-430214,3,0.5591248103856207,0.1182496207712413
40626,0.025196,X,24773,201.3643843885204,-43.037251376050406,8490,2CXO J132527.4-430214,4,0.6287394104314794,0.2574788208629589
40627,0.025196,X,24774,201.3643843885204,-43.037251376050406,7797,2CXO J132527.4-430214,2,0.5148104760383103,0.0296209520766207
40628,0.515049,Candidate_LMXB,24778,201.36507580009447,-43.00638899568758,7800,2CXO J132527.6-430023,3,0.5264823988949664,0.0529647977899328
40629,0.515049,Candidate_LMXB,24779,201.36507580009447,-43.00638899568758,7798,2CXO J132527.6-430023,2,0.5533716355913101,0.10674327118262
40630,0.515049,Candidate_LMXB,24780,201.36507580009447,-43.00638899568758,7799,2CXO J132527.6-430023,3,0.563971620906617,0.1279432418132339
40631,0.034844,PartofG,24785,201.36504956982608,-43.0191130680878,7800,2CXO J132527.6-430108,0,0.5879755847512543,0.1759511695025087
40634,0.034844,PartofG,24786,201.36504956982608,-43.0191130680878,11847,2CXO J132527.6-430108,0,0.6430482218173619,0.2860964436347238
40637,0.034844,PartofG,24787,201.36504956982608,-43.0191130680878,13304,2CXO J132527.6-430108,0,0.6205350591995115,0.2410701183990229
40640,0.034844,PartofG,24788,201.36504956982608,-43.0191130680878,13303,2CXO J132527.6-430108,0,0.5613611955716635,0.1227223911433269
40643,0.034844,PartofG,24789,201.36504956982608,-43.0191130680878,10724,2CXO J132527.6-430108,0,0.6268364896334347,0.2536729792668695
40646,0.034844,PartofG,24790,201.36504956982608,-43.0191130680878,7797,2CXO J132527.6-430108,1,0.6381583153981765,0.2763166307963529
