,name,obsid,main_type,AGN,HMXB,Orion_V*,QSO,YSO
16,2CXO J000132.1-245809,13394,QSO,0.27126453147678053,0.2421752663834548,0.09405516760536566,0.3053934517259921,0.08711158280840683
17,2CXO J000134.9+233540,14898,HMXB,0.21111130438989184,0.2451629921603816,0.12258193176852407,0.1902162660459453,0.23092750563525713
18,2CXO J000136.1+130639,6978,Orion_V*,0.02094281980445849,0.11465239375410036,0.5069869154112684,0.0068205235801008625,0.3505973474500719
22,2CXO J000209.6+232304,14898,Orion_V*,0.2056826438217007,0.225744854765306,0.2465842082152843,0.17682341461710288,0.14516487858060617
44,2CXO J001029.8-250208,9547,QSO,0.25830742819350416,0.12975256430307466,0.0770048417532339,0.48952661273237197,0.04540855301781528
63,2CXO J001308.5-193735,4945,Orion_V*,0.2165520546091811,0.18783202288129902,0.2714032636692764,0.13565341361691174,0.18855924522333176
85,2CXO J001421.4-494117,13471,QSO,0.3191393285590178,0.130544273923913,0.10281106688854189,0.3489437553647292,0.09856157526379819
99,2CXO J001511.8-494627,13471,YSO,0.2017096380988243,0.17242754001923588,0.19492786572958623,0.1745368070782699,0.25639814907408376
129,2CXO J001853.5+162750,520,AGN,0.3727576322224348,0.2530294795209179,0.03690977454946896,0.24103235394263572,0.09627075976454261
134,2CXO J001951.8-705701,13919,QSO,0.28537674019056386,0.13063049326106463,0.09208344849185525,0.36742892706731617,0.12448039098920011
140,2CXO J002024.4+591525,8458,HMXB,0.22241756179295233,0.2709318317049213,0.20218839273969355,0.07500826837797409,0.22945394538445874
154,2CXO J002222.8+001050,2252,QSO,0.23057542432184872,0.17889117064277116,0.16971966050336681,0.2878278927672958,0.13298585176471742
162,2CXO J002305.9-720648,2737,AGN,0.2979271953103096,0.2743829618676833,0.06256307731162504,0.2957900803005358,0.06933668520984641
172,2CXO J002316.1-720733,2735,QSO,0.293366792294477,0.21309414168767848,0.06261640503935366,0.34307193692827176,0.08785072405021915
173,2CXO J002316.1-720733,2737,AGN,0.35150980667856185,0.16970541843153816,0.07838537877828425,0.26478564789608333,0.13561374821553235
174,2CXO J002316.1-720733,2736,HMXB,0.18523371591058602,0.28233501100827463,0.15701184721821265,0.14015158252369114,0.2352678433392357
187,2CXO J002345.2-015511,8918,QSO,0.35319248221895877,0.17229231871594616,0.07364101448824314,0.3556344201792419,0.04523976439760996
264,2CXO J002516.9-123033,10413,QSO,0.24745893195756677,0.14834406729393337,0.17171604832863518,0.2697231728136909,0.16275777960617385
265,2CXO J002518.9-122623,5010,HMXB,0.2876600388465278,0.4707544021267722,0.09259504137465707,0.016660197522249107,0.13233032012979387
272,2CXO J002537.9-721523,2737,QSO,0.3300669555810056,0.13196280234717847,0.07956940730974432,0.3886572552330011,0.06974357952907068
