,name,obsid,main_type,BYDra,Candidate_YSO,Orion_V*,TTau*,YSO
110,2CXO J001600.2-273247,5039,Candidate_YSO,0.3082576241457314,0.3226071984405059,0.20282824273349548,0.10676495816300732,0.05954197651726005
251,2CXO J002441.0+642032,115,YSO,0.1252262092444454,0.13732498719152686,0.17338831034227908,0.26515425678534843,0.29890623643640024
288,2CXO J002651.2+640342,10094,Orion_V*,0.06930347826669224,0.08415777824947575,0.3597886981821417,0.14111504128506286,0.34563500401662733
484,2CXO J004207.9+410436,2017,Candidate_YSO,0.41414954343486177,0.4456816678582258,0.04017298622890175,0.05847396071110091,0.04152184176691
1512,2CXO J004246.1+411543,13826,Orion_V*,0.10488691864226145,0.12737456786586906,0.39115382034197194,0.1442992021094538,0.23228549104044374
2104,2CXO J004307.7+404821,4536,Candidate_YSO,0.405427404720374,0.4262165655446176,0.03662336639755433,0.10145514046390286,0.030277522873551295
2290,2CXO J004350.7+325805,2732,Candidate_YSO,0.3550486136004043,0.394418088232162,0.10890966886182908,0.08132118650331657,0.060302442802288074
2421,2CXO J004830.1-250841,3931,Candidate_YSO,0.419708335220886,0.45946569575996593,0.010231603144175152,0.09764358432629082,0.012950781548682075
2539,2CXO J005200.7+563606,5424,YSO,0.024976494600559104,0.08572940574260653,0.2851221519523665,0.15453480736766492,0.449637140336803
2568,2CXO J005350.7+352948,14895,Candidate_YSO,0.3829461695463888,0.4428695870861983,0.03342948020844854,0.10232905700657391,0.03842570615239053
2571,2CXO J005414.0-351712,5784,YSO,0.0837951863980408,0.11805466093058371,0.26264633144188787,0.22730364377907186,0.30820017745041567
3113,2CXO J010408.9-221559,13450,Orion_V*,0.11888219594625024,0.15748839268289963,0.34822272292443673,0.22408184706999812,0.15132484137641525
3163,2CXO J010533.6-721448,5143,YSO,0.09491280611524563,0.10237241619445238,0.19653294498047869,0.2792591386185918,0.32692269409123154
3294,2CXO J012450.8+032734,2924,Candidate_YSO,0.3951553594577121,0.4056062550802402,0.046989120946718366,0.1262151471764798,0.02603411733884966
3305,2CXO J012642.1-011409,7823,Orion_V*,0.11666645764387744,0.1733878358571961,0.26983843169813787,0.2214821249990198,0.2186251498017688
3341,2CXO J013236.8+303228,6385,Candidate_YSO,0.221425198991247,0.3354319873005045,0.12345219071896521,0.16218128796581233,0.15750933502347103
3342,2CXO J013236.8+303228,6377,Candidate_YSO,0.33177290512951985,0.36474742033184965,0.05804523943328938,0.17558822038404598,0.06984621472129512
3363,2CXO J013253.9+303311,1730,YSO,0.15224472045582024,0.20719126973379398,0.1549875496562672,0.17924169498186127,0.3063347651722573
3405,2CXO J013324.0+304347,6388,Candidate_YSO,0.28115092957530136,0.3028377937671382,0.11512617309266336,0.13817829240934681,0.16270681115555022
3409,2CXO J013324.4+304402,6388,Candidate_YSO,0.28115092957530136,0.3028377937671382,0.11512617309266336,0.13817829240934681,0.16270681115555022
3665,2CXO J015751.4+375305,3752,TTau*,0.16740761670250406,0.18114294208136128,0.22287339677447063,0.24004476360593555,0.18853128083572834
3667,2CXO J015803.8+374113,3752,YSO,0.17064484328192217,0.19815779567381855,0.11213966876538815,0.22079666479850024,0.29826102748037103
3713,2CXO J020446.5-050404,4129,TTau*,0.21612254535292436,0.2683583648433284,0.13816894356111664,0.3501257883355128,0.027224357907117663
3825,2CXO J021903.0+570300,12021,YSO,0.05523384700597929,0.1307445328768576,0.21865954272487742,0.24848919245946588,0.34687288493281987
3850,2CXO J022054.3+421721,794,Candidate_YSO,0.3503951419722777,0.4227320723583671,0.04038059278533213,0.1433283287419754,0.04316386414204771
3857,2CXO J022123.1+421722,794,Candidate_YSO,0.3280794526990937,0.3440386650838264,0.15491633563981205,0.08964043243391823,0.08332511414334966
3868,2CXO J022226.3+421833,4613,YSO,0.14514246825007276,0.19008112550898293,0.1905806818532463,0.18702945386211106,0.2871662705255869
