,name,obsid,main_type,AGN,Candidate_XB*,Orion_V*,QSO,YSO
1,2CXO J000010.0-501526,11997,AGN,0.30989647571895296,0.024707520507731857,0.20188958806940857,0.29923465338708494,0.16427176231682158
2,2CXO J000019.8-245030,13394,AGN,0.48713716734029494,0.00037428981658502516,0.046418691261520394,0.39188782582897685,0.07418202575262277
4,2CXO J000027.4-500421,11997,Orion_V*,0.2431698566461199,0.07219757520571715,0.29103140862752674,0.287628814798672,0.10597234472196417
5,2CXO J000027.4-500421,11742,AGN,0.5482308971249856,0.014379645354091737,0.13016551593039535,0.12088291656814368,0.18634102502238342
9,2CXO J000047.6-551937,7061,AGN,0.46564357705587883,0.0004821267990929332,0.054902658802232544,0.30535308095965447,0.17361855638314122
10,2CXO J000058.9-245449,13394,AGN,0.39918371721547924,0.011818160736881458,0.10227187843514772,0.268212718127549,0.21851352548494263
14,2CXO J000107.7-501348,11997,AGN,0.36325469584534525,0.04347038277546306,0.12647559532757752,0.34205550828028847,0.12474381777132573
15,2CXO J000109.1-245614,13394,AGN,0.32935867307751365,0.04867887022612898,0.1515121726565566,0.1523936299870662,0.3180566540527346
20,2CXO J000144.7+131150,8491,AGN,0.24949450245026844,0.10626769934713354,0.184587110286929,0.24696747473752848,0.21268321317814035
21,2CXO J000144.7+131150,6978,QSO,0.25600755035186246,0.09258106555618797,0.17399659946952833,0.28150591496934296,0.19590886965307827
24,2CXO J000246.9-354603,6973,AGN,0.3632866800141097,0.04328817496021037,0.18295934966951252,0.1532496787740494,0.2572161165821179
25,2CXO J000255.7-353710,6973,YSO,0.2212367212633019,0.04005271744043268,0.2237629978831535,0.2400018356688401,0.27494572774427184
26,2CXO J000313.6+161956,11309,AGN,0.47265766043314134,0.0025384492540435114,0.06940507988931034,0.28796973454242497,0.16742907588107975
28,2CXO J000329.1-354446,6973,AGN,0.31101854911563914,0.02636084046035152,0.19248533389728667,0.2755742307796244,0.19456104574709826
29,2CXO J000442.7+725819,3835,AGN,0.31365194024483173,0.01212479830208899,0.1750962196413515,0.2529435924169872,0.24618344939474046
30,2CXO J000607.5+110144,12251,AGN,0.3099545945495298,0.05367618333047168,0.227173705588878,0.28875772354774265,0.1204377929833779
33,2CXO J000629.4+725908,3835,AGN,0.36125120934249455,0.023169280114449572,0.09704069783327297,0.21882896048756367,0.2997098522222193
34,2CXO J000633.9+104922,12251,YSO,0.2734583422967612,0.051894208559485476,0.10781842047840119,0.2390834874043132,0.32774554126103894
35,2CXO J000701.5+730308,3835,Orion_V*,0.18228233021417242,0.21149424699282146,0.27847759248902026,0.1898793802226554,0.13786645008133033
36,2CXO J000740.3+730649,3835,YSO,0.2347397799450812,0.06709178099124823,0.1759303436514264,0.22380415097159054,0.2984339444406535
41,2CXO J000957.7+255347,10401,QSO,0.31840882389775055,0.07102255114459649,0.10887322978358954,0.3611196924626019,0.14057570271146158
42,2CXO J001004.5-250924,9547,YSO,0.1390636642335854,0.01585751369183065,0.35648272804632847,0.016696606978795363,0.47189948704946016
43,2CXO J001014.9+524055,15318,AGN,0.33360989198848584,0.011735004595704679,0.16277156065238138,0.29129656912472646,0.2005869736387015
45,2CXO J001034.0-250449,9547,QSO,0.14870964663658007,0.15639078026576636,0.16533016102771367,0.2891067195587521,0.24046269251118785
47,2CXO J001125.6-152319,3261,QSO,0.18302998452278846,0.1844207004607049,0.20585323507689085,0.2376879731307518,0.189008106808864
48,2CXO J001129.3-151828,6105,AGN,0.3450577657448529,0.03867145177788445,0.12085118947112015,0.22641719143611083,0.2690024015700316
49,2CXO J001131.6-152320,6105,YSO,0.19590054358330747,0.19448584949978823,0.1551133423896987,0.18842054919309523,0.26607971533411034
50,2CXO J001131.6-152320,3261,YSO,0.19718066064660927,0.17264025713655057,0.2441756151833931,0.12295445299258168,0.2630490140408654
51,2CXO J001139.9-152340,6105,Orion_V*,0.1772581277233332,0.07572138106424664,0.34051167523031023,0.22674918479764125,0.17975963118446864
52,2CXO J001144.5-151553,6105,AGN,0.26161149105534826,0.05215162291944042,0.17838222958108524,0.2610625251923326,0.24679213125179347
53,2CXO J001144.7-153224,3261,QSO,0.22504117491286926,0.030775791666368634,0.1389358574285256,0.45415693795366213,0.15109023803857444
54,2CXO J001210.7-271208,5038,AGN,0.36075337921807377,0.005842888879075971,0.21413675683493358,0.31458922880400003,0.10467774626391654
56,2CXO J001212.1-271011,5038,QSO,0.24372778177025634,0.03539816354826108,0.1816430069210194,0.33083707051092137,0.20839397724954187
61,2CXO J001248.0-303218,8477,AGN,0.5330137186136816,0.0013006929931892281,0.07882466213398714,0.21826722580168423,0.16859370045745775
62,2CXO J001300.5-270751,5038,QSO,0.20558875393730705,0.18040972865473437,0.13743386925322001,0.260683278561509,0.2158843695932295
64,2CXO J001309.2-272635,5038,QSO,0.2501198958989607,0.10406823980947123,0.1737469940969025,0.31679833516757766,0.1552665350270877
65,2CXO J001316.6-193201,4945,AGN,0.27582530948458706,0.07781713825440748,0.2561295661070299,0.24307521323119,0.14715277292278564
66,2CXO J001318.5-271515,5038,QSO,0.23230806014919403,0.22630086198695293,0.15754110889126807,0.2710882406641567,0.11276172830842822
67,2CXO J001327.8-272242,5038,AGN,0.36341239179438284,0.02513989612995582,0.24928960779948847,0.2332647396575674,0.1288933646186055
70,2CXO J001331.4-270742,5038,AGN,0.3498873967929736,0.049473083136497654,0.13183071222956386,0.3249274827792926,0.14388132506167245
71,2CXO J001331.8-272206,5038,AGN,0.38247408721558823,0.025304331758130752,0.16627623076479847,0.08667362274798412,0.3392717275134984
73,2CXO J001342.8-192156,4945,QSO,0.28476238575845003,0.01807498246543244,0.15793586036388582,0.35817508111132634,0.18105169030090534
74,2CXO J001345.9-192111,4945,AGN,0.38306387839063766,0.012528238635780823,0.1746845042432307,0.23726145662928133,0.1924619221010694
75,2CXO J001350.1+792651,3009,AGN,0.3047991423561322,0.009030844408127379,0.20594400360085935,0.26619025615880965,0.2140357534760715
76,2CXO J001351.5-302500,7915,QSO,0.22487496407138607,0.18687453123026446,0.15959879650580167,0.28099527448108275,0.14765643371146506
78,2CXO J001351.9-493956,13471,QSO,0.22088173650609003,0.011608388162160114,0.2171517178291794,0.35881108961883484,0.19154706788373566
80,2CXO J001400.8-493633,13471,QSO,0.36540435205774974,0.000559323941980654,0.06572528740783429,0.3823012443596773,0.18600979223275804
81,2CXO J001402.5-493917,13471,AGN,0.5078619884687997,0.002605875971604835,0.08655369304690112,0.313870179202162,0.08910826331053229
82,2CXO J001408.1-493756,13471,AGN,0.4779658796955213,0.004054258505695814,0.13822246608031774,0.16489596380610516,0.21486143191235998
89,2CXO J001429.5-493746,13471,QSO,0.31897195703822023,0.004338847444417331,0.15486967543062277,0.42013311443697343,0.10168640564976615
96,2CXO J001458.9-273950,5039,YSO,0.3418875882086868,0.0034259244320261582,0.16042722436830606,0.12614877350812753,0.3681104894828533
100,2CXO J001512.6-495842,13471,AGN,0.3735595690719787,0.021775273370713055,0.10825185043182617,0.364471460448033,0.131941846677449
101,2CXO J001521.8-494751,13471,QSO,0.28641028791954437,0.019591185997903087,0.09281466265217989,0.3025997061643513,0.2985841572660214
111,2CXO J001604.3-270731,7906,QSO,0.16851891154619997,0.0746459736679343,0.2388142641856589,0.40746671834720893,0.11055413225299786
115,2CXO J001739.8+162328,520,QSO,0.28048607789282626,0.003360338760914478,0.12961019335994503,0.44451227261047505,0.1420311173758392
116,2CXO J001758.0-102858,13823,AGN,0.4803549932459403,0.03220283230510206,0.11186067287964928,0.20887393421277237,0.1667075673565361
118,2CXO J001811.7-101447,13823,AGN,0.31200736222597897,0.006500477403952276,0.15278902744405082,0.2830869731998092,0.24561615972620884
119,2CXO J001813.0+300354,10231,YSO,0.2073545379653588,0.19762488917820378,0.1696426808182786,0.21136772653446187,0.21401016550369698
120,2CXO J001814.5-102439,13823,QSO,0.1217781106067833,0.03634167838890128,0.3091468227502646,0.3805389281394695,0.15219446011458132
125,2CXO J001837.9+163909,520,AGN,0.33717212350334597,0.006959260006641376,0.14381418829346498,0.28465038047999436,0.22740404771655323
128,2CXO J001852.2-102554,13823,AGN,0.3075834486531264,0.06796928454786384,0.19296221773747427,0.1676872613355415,0.2637977877259939
136,2CXO J002012.6+591501,7082,YSO,0.282772052966257,0.0680727038333985,0.21871307439055032,0.06886035885911214,0.36158180995068206
137,2CXO J002012.6+591501,8458,YSO,0.267335629128672,0.07021596731367129,0.19586419543713937,0.13941035254027787,0.3271738555802396
144,2CXO J002030.2+791849,3009,AGN,0.3918062476069839,0.073763613125068,0.1938466331311903,0.125652442149965,0.21493106398679282
146,2CXO J002111.3-084140,4102,Orion_V*,0.00018525760044107471,0.02975751557076653,0.6225287472921984,2.088795677717564e-06,0.3475263907409163
147,2CXO J002111.7-084414,4102,QSO,0.28365047314360337,0.1997552727826832,0.10649940689956419,0.29449866788374063,0.1155961792904086
157,2CXO J002245.2-715909,955,AGN,0.38127960604072436,0.05944665277891613,0.11181554675233882,0.22691446793178466,0.22054372649623605
158,2CXO J002245.2-715909,953,QSO,0.2550934947087991,0.07277231819405673,0.16190582294803213,0.375195519848108,0.1350328443010041
161,2CXO J002301.3+042320,7914,AGN,0.4276760500818476,0.006352192670732475,0.07515751022709417,0.25260479168885885,0.23820945533146692
163,2CXO J002305.9-720648,2738,AGN,0.33973063631594613,0.046581840014934234,0.10825087329089546,0.33347069248039124,0.1719659578978328
164,2CXO J002305.9-720648,2735,QSO,0.3685031176193636,0.023864610002169044,0.09846742305095063,0.36965156141433814,0.13951328791317857
165,2CXO J002305.9-720648,2736,AGN,0.42309823635194765,0.01043110700128657,0.07826604986172962,0.3554843088127933,0.1327202979722428
166,2CXO J002307.8-721315,2738,AGN,0.39145775126982674,0.004567820994907209,0.11373527971551341,0.26866017943151016,0.22157896858824253
